SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-113.082,3.5,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-111.259,3.75,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-100.053,6.5,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-103.399,5.25,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-118.446,3.5,314.0,379.536,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-100.752,5.0,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-103.56,8.25,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-119.114,3.5,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-108.759,7.5,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-105.476,3.5,157.0,189.768,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-100.778,3.5,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-106.495,3.5,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-115.953,3.5,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-110.673,4.75,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-108.082,6.25,95.0,111.384,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-113.089,4.0,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-102.527,10.25,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-104.869,3.5,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-102.86,3.5,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-99.852,5.75,48.0,56.192,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-119.145,3.5,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-102.241,6.0,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-108.233,4.25,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-110.483,4.25,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-113.884,3.5,24.0,28.096,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-116.252,3.5,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-112.916,3.5,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-104.704,5.5,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-111.166,4.0,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-107.855,4.75,14.0,16.048,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,65.9,-112.135,6.25,7.0,38.8,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,65.9,-116.784,5.5,7.0,38.8,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,65.9,-128.847,5.25,7.0,38.8,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,65.9,-108.204,6.0,7.0,38.8,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,65.9,-109.314,3.5,7.0,38.8,1,1
