SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,ATT
6,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,14285.714,1.0,65.9,-127.743,3.5,0.7,1.0
7,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,7142.857,1.0,38.3,-117.837,6.75,1.4,1.0
8,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,4166.667,1.0,73.3,-122.595,3.5,2.4,1.0
9,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,2083.333,1.0,125.4,-116.063,3.5,4.8,1.0
10,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,1052.632,1.0,229.4,-117.527,6.75,9.5,1.0
11,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,636.943,1.0,422.5,-115.569,4.0,15.7,1.0
12,878,125.0,8.0,20,0.0,10.0,10.0,45.0,1.0,79.618,1.0,840.7,-138.927,3.5,125.6,1.0
12,878,250.0,8.0,20,0.0,10.0,10.0,45.0,1.0,159.236,1.0,840.7,-120.105,4.75,62.8,1.0
12,878,500.0,5.0,20,0.0,10.0,10.0,45.0,1.0,509.554,1.0,525.44,-110.576,3.5,19.625,1.0
12,878,500.0,6.0,20,0.0,10.0,10.0,45.0,1.0,424.628,1.0,630.53,-126.337,3.5,23.55,1.0
12,878,500.0,7.0,20,0.0,10.0,10.0,45.0,1.0,363.967,1.0,735.61,-116.051,5.25,27.475,1.0
12,878,500.0,8.0,14,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-116.887,3.5,31.4,1.0
12,878,500.0,8.0,15,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-118.007,3.5,31.4,1.0
12,878,500.0,8.0,16,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-120.539,3.5,31.4,1.0
12,878,500.0,8.0,17,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-113.273,8.0,31.4,1.0
12,878,500.0,8.0,20,0.0,10.0,6.0,45.0,1.0,355.578,1.0,840.7,-116.321,3.5,28.123,1.0
12,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-129.21,3.5,31.4,1.0
12,878,500.0,8.0,20,0.0,10.0,20.0,45.0,1.0,252.576,1.0,840.7,-113.559,3.5,39.592,1.0
12,878,500.0,8.0,20,0.0,10.0,30.0,45.0,1.0,209.275,1.0,840.7,-114.167,3.5,47.784,1.0
12,878,500.0,8.0,20,0.0,10.0,40.0,45.0,1.0,178.648,1.0,840.7,-114.387,6.5,55.976,1.0
12,878,500.0,8.0,20,0.0,10.0,50.0,45.0,1.0,155.841,1.0,840.7,-113.009,3.5,64.168,1.0
