SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-77.8,3.75,6.0,37.8,1.0,9.8
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-81.2,5.85,14.0,15.6,1.0,3.6
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.4,-82.2,7.35,24.0,27.8,1.0,7.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.6,-81.6,8.1,48.0,55.2,1.0,14.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.2,-81.0,8.1,79.0,94.8,1.0,24.8
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-81.4,6.0,157.0,189.4,1.0,49.4
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.0,1.0,3407.4,-82.2,9.65,1254.0,1515.4,1.0,399.4
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,14.0,1.0,1733.0,-80.0,9.75,627.0,757.8,1.0,199.8
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,37.0,1.0,724.6,-83.6,6.65,265.0,305.2,1.0,80.0
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,35.0,1.0,781.2,-82.8,6.55,281.0,329.6,1.0,86.6
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,33.0,1.0,839.0,-84.2,5.2,297.0,354.2,1.0,93.0
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.4,-84.2,5.05,314.0,378.6,1.0,36.0
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.4,-83.6,5.3,314.0,378.8,1.0,36.0
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.2,-84.0,5.3,314.0,378.8,1.0,36.0
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.4,-85.2,5.05,314.0,379.0,1.0,100.0
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.0,1.0,830.6,-83.8,5.4,281.0,346.0,1.0,91.0
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.4,-82.8,6.3,314.0,378.8,1.0,99.8
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.0,1.0,1060.6,-82.6,6.65,396.0,461.0,1.0,121.0
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.0,1.0,1224.0,-82.8,6.45,478.0,542.6,1.0,143.0
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.0,1.0,1388.0,-82.4,6.4,560.0,624.6,1.0,164.6
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.0,1.0,1551.8,-82.8,6.2,642.0,706.4,1.0,186.0
