SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-17.0,6.5,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.0,-18.0,6.5,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-18.0,6.5,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.0,-17.0,6.75,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-13.0,5.25,314.0,378.0,1,99
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-19.0,7.5,157.0,190.0,1,50
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-19.0,7.5,157.0,190.0,1,50
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-15.0,6.25,157.0,189.0,1,49
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-19.0,7.5,157.0,190.0,1,50
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-19.0,7.5,157.0,190.0,1,50
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-18.0,7.75,79.0,94.0,1,24
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-13.0,7.0,79.0,94.0,1,24
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-18.0,8.25,79.0,94.0,1,24
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,267.0,-13.0,7.25,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,267.0,-13.0,7.25,79.0,95.0,1,25
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-14.0,7.75,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.0,-14.0,8.0,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.0,-14.0,8.0,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.0,-15.0,8.0,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-14.0,8.0,48.0,55.0,1,14
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-14.0,6.75,24.0,27.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-14.0,6.75,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-14.0,7.0,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-14.0,7.0,24.0,27.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-14.0,7.0,24.0,28.0,1,7
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,94.0,-10.0,5.5,14.0,16.0,1,4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-10.0,5.5,14.0,16.0,1,4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-10.0,5.5,14.0,16.0,1,4
