SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-108.95,-8.15,14.0,16.0,1.0,4.0
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-108.1,-8.1,24.0,27.6,1.0,7.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.4,-107.9,-7.5,48.0,55.8,1.2,14.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-112.8,-11.6,79.0,94.6,1.4,24.6
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,476.8,-112.35,-11.95,157.0,189.2,1.0,49.2
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.2,-110.85,-9.85,314.0,379.0,1.0,100.0
