SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-91.946,19.064,314.0,314.0,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-97.398,13.612,314.0,314.0,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-102.192,8.819,314.0,314.0,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-90.624,20.386,314.0,314.0,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-93.741,17.27,314.0,314.0,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,424.0,-95.844,15.166,157.0,157.0,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,424.0,-91.739,19.272,157.0,157.0,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,424.0,-106.588,4.423,157.0,157.0,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,424.0,-92.256,18.754,157.0,157.0,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,424.0,-89.935,21.075,157.0,157.0,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.0,-97.514,13.497,95.0,95.0,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.0,-82.782,28.229,95.0,95.0,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.0,-89.472,21.538,95.0,95.0,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.0,-100.225,10.785,95.0,95.0,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.0,-97.586,13.424,95.0,95.0,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,206.0,-94.31,16.701,48.0,48.0,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,206.0,-92.988,18.022,48.0,48.0,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,206.0,-94.953,16.057,48.0,48.0,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,206.0,-97.695,13.315,48.0,48.0,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,206.0,-103.826,7.184,48.0,48.0,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,158.0,-94.38,16.63,24.0,24.0,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,158.0,-95.052,15.958,24.0,24.0,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,158.0,-96.979,14.031,24.0,24.0,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,158.0,-87.598,23.413,24.0,24.0,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,158.0,-95.663,15.347,24.0,24.0,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,138.0,-95.109,15.901,14.0,14.0,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,138.0,-88.504,22.506,14.0,14.0,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,138.0,-89.645,21.365,14.0,14.0,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,138.0,-85.904,25.106,14.0,14.0,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,138.0,-93.26,17.75,14.0,14.0,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,124.0,-89.274,21.736,7.0,7.0,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,124.0,-98.172,12.838,7.0,7.0,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,124.0,-87.605,23.405,7.0,7.0,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,124.0,-101.979,9.031,7.0,7.0,1,1
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,124.0,-91.878,19.132,7.0,7.0,1,1
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1366.0,-89.694,24.327,628.0,628.0,1,1
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1366.0,-99.794,14.227,628.0,628.0,1,1
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1366.0,-93.192,20.829,628.0,628.0,1,1
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1366.0,-100.292,13.728,628.0,628.0,1,1
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1366.0,-100.253,13.767,628.0,628.0,1,1
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,2622.0,-104.952,12.079,1256.0,1256.0,1,1
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,2622.0,-104.304,12.727,1256.0,1256.0,1,1
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,2622.0,-95.195,21.836,1256.0,1256.0,1,1
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,2622.0,-101.682,15.349,1256.0,1256.0,1,1
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,2622.0,-99.416,17.614,1256.0,1256.0,1,1
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,659.5,-92.06,18.951,274.75,274.75,1,1
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,659.5,-99.465,11.545,274.75,274.75,1,1
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,659.5,-97.095,13.915,274.75,274.75,1,1
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,659.5,-105.815,5.195,274.75,274.75,1,1
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,659.5,-100.454,10.556,274.75,274.75,1,1
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,581.0,-87.536,23.475,235.5,235.5,1,1
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,581.0,-91.623,19.387,235.5,235.5,1,1
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,581.0,-100.112,10.898,235.5,235.5,1,1
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,581.0,-103.154,7.856,235.5,235.5,1,1
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,581.0,-90.667,20.344,235.5,235.5,1,1
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,502.5,-93.341,17.67,196.25,196.25,1,1
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,502.5,-99.351,11.66,196.25,196.25,1,1
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,502.5,-97.483,13.527,196.25,196.25,1,1
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,502.5,-107.554,3.456,196.25,196.25,1,1
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,502.5,-101.219,9.792,196.25,196.25,1,1
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-93.247,17.763,314.0,314.0,1,1
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-91.51,19.5,314.0,314.0,1,1
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-101.314,9.696,314.0,314.0,1,1
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1,738.0,-99.281,11.73,314.0,314.0,1,1
