SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1.0,138.6,-90.762,2.017,7.0,38.8,1.0,1.0
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1.0,94.096,-93.312,3.673,14.0,16.048,1.0,1.0
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1.0,120.192,-89.366,5.912,24.0,28.096,1.0,1.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1.0,181.384,-90.238,6.066,48.0,56.192,1.0,1.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1.0,300.768,-92.856,5.355,95.0,111.384,1.0,1.0
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1.0,477.536,-90.482,4.77,157.0,189.768,1.0,1.0
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1.0,3936.288,-90.156,9.696,1256.0,1518.144,1.0,1.0
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1.0,1998.144,-94.856,5.957,628.0,759.072,1.0,1.0
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1.0,783.572,-92.712,3.827,196.25,261.786,1.0,1.0
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1.0,862.072,-90.636,4.315,235.5,301.036,1.0,1.0
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1.0,940.572,-89.436,4.597,274.75,340.286,1.0,1.0
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-96.94,2.833,314.0,379.536,1.0,1.0
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-95.136,3.257,314.0,379.536,1.0,1.0
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-94.662,3.368,314.0,379.536,1.0,1.0
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-94.24,3.468,314.0,379.536,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.558,1.0,953.536,-90.364,4.379,281.232,346.768,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-92.496,3.877,314.0,379.536,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.258,1.0,1182.912,-93.482,3.646,395.92,461.456,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.928,1.0,1346.752,-90.058,4.451,477.84,543.376,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.865,1.0,1510.592,-92.874,3.789,559.76,625.296,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.584,1.0,1674.432,-92.044,3.984,641.68,707.216,1.0,1.0
