SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1.0,138.6,-108.796,-2.224,7.0,38.8,1.0,1.024
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1.0,94.096,-108.116,0.192,14.0,16.048,1.0,0.424
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1.0,120.192,-107.546,1.637,24.0,28.096,1.0,0.742
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1.0,181.384,-107.02,2.12,48.0,56.192,1.0,1.483
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1.0,300.768,-108.57,1.66,95.0,111.384,1.0,2.941
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1.0,477.536,-108.58,0.514,157.0,189.768,1.0,5.01
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1.0,3936.288,-109.276,5.2,1256.0,1518.144,1.0,40.079
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1.0,1998.144,-109.13,2.6,628.0,759.072,1.0,20.04
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1.0,783.572,-108.496,0.115,196.25,261.786,1.0,4.319
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1.0,862.072,-107.36,0.383,235.5,301.036,1.0,5.961
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1.0,940.572,-106.902,0.49,274.75,340.286,1.0,7.861
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-116.32,-1.724,314.0,379.536,1.0,10.02
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-113.766,-1.124,314.0,379.536,1.0,10.02
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-112.17,-0.749,314.0,379.536,1.0,10.02
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-113.076,-0.961,314.0,379.536,1.0,10.02
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.558,1.0,953.536,-108.732,0.06,281.232,346.768,1.0,9.155
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-108.124,0.203,314.0,379.536,1.0,10.02
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.258,1.0,1182.912,-108.34,0.152,395.92,461.456,1.0,12.182
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.928,1.0,1346.752,-108.134,0.201,477.84,543.376,1.0,14.345
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.865,1.0,1510.592,-106.856,0.501,559.76,625.296,1.0,16.508
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.584,1.0,1674.432,-108.184,0.189,641.68,707.216,1.0,18.671
