SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-63.0,7.25,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-62.0,6.75,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-62.0,5.75,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-62.0,6.75,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-64.0,5.5,314.0,379.0,1,100
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-63.0,6.25,157.0,190.0,1,50
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-63.0,6.5,157.0,189.0,1,49
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,478.0,-63.0,6.5,157.0,189.0,1,49
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-62.0,7.25,157.0,190.0,1,50
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-62.0,7.0,157.0,189.0,1,49
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-62.0,7.25,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-61.0,7.75,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-61.0,7.0,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-64.0,5.5,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-63.0,6.5,79.0,94.0,1,24
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-63.0,7.25,48.0,55.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.0,-63.0,8.0,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.0,-63.0,6.75,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-63.0,7.25,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-62.0,7.75,48.0,55.0,1,14
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,120.0,-60.0,7.0,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-60.0,7.25,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,120.0,-60.0,7.0,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-62.0,6.75,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-63.0,7.0,24.0,27.0,1,7
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,94.0,-59.0,5.5,14.0,16.0,1,4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-59.0,5.75,14.0,16.0,1,4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,94.0,-60.0,5.25,14.0,16.0,1,4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-60.0,5.0,14.0,16.0,1,4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-60.0,5.5,14.0,16.0,1,4
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-58.0,3.0,6.0,38.0,1,10
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-58.0,3.0,6.0,38.0,1,10
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-59.0,3.0,6.0,38.0,1,10
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-58.0,2.75,6.0,38.0,1,10
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-58.0,3.0,6.0,38.0,1,10
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,14.0,1.0,1733.0,-65.0,11.5,627.0,757.0,1,199
