SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-95.8,1.65,6.0,37.4,1.2,9.4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-97.0,3.05,14.0,16.0,1.0,4.0
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.2,-96.4,4.0,24.0,27.4,1.0,7.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.6,-96.4,4.25,48.0,55.4,1.0,14.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,267.8,-96.6,4.2,79.0,94.8,1.0,24.8
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-97.2,3.55,157.0,189.6,1.0,49.6
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.0,1.0,3407.0,-97.2,8.4,1254.0,1515.8,1.0,399.8
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,14.0,1.0,1733.0,-96.8,6.75,627.0,757.6,1.0,199.6
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,37.0,1.0,724.0,-98.0,2.75,265.0,305.2,1.0,80.0
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,35.0,1.0,781.8,-99.0,2.85,281.0,329.4,1.0,86.4
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,33.0,1.0,839.0,-97.4,2.75,297.0,354.2,1.0,93.0
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.0,-98.4,2.15,314.0,379.0,1.0,36.0
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.6,-98.0,2.8,314.0,379.0,1.0,36.0
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.4,-97.4,2.5,314.0,378.8,1.0,36.0
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.6,-97.8,2.75,314.0,379.0,1.0,100.0
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.0,1.0,831.0,-98.4,2.6,281.0,346.0,1.0,91.0
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.8,-98.2,2.95,314.0,378.8,1.0,99.8
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.0,1.0,1060.0,-104.0,-2.2,396.0,460.6,1.0,121.0
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.0,1.0,1224.2,-96.8,2.25,478.0,542.8,1.0,143.0
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.0,1.0,1387.8,-96.6,2.2,560.0,624.4,1.0,164.4
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.0,1.0,1551.8,-99.6,1.4,642.0,706.4,1.0,186.0
