SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-82.0,6.75,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.0,-83.0,6.0,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.0,-83.0,6.25,314.0,379.0,1,100
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,831.0,-83.0,6.25,314.0,378.0,1,99
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.0,-83.0,6.25,314.0,379.0,1,100
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-81.0,5.25,157.0,189.0,1,49
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-81.0,5.75,157.0,190.0,1,50
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-81.0,5.0,157.0,189.0,1,49
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-82.0,6.5,157.0,189.0,1,49
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-82.0,7.5,157.0,190.0,1,50
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,269.0,-81.0,8.25,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-82.0,8.25,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-80.0,7.75,79.0,95.0,1,25
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-81.0,8.0,79.0,94.0,1,24
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-81.0,8.25,79.0,95.0,1,25
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-82.0,8.0,48.0,55.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.0,-82.0,8.25,48.0,55.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.0,-82.0,8.0,48.0,56.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-81.0,8.0,48.0,55.0,1,14
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,180.0,-81.0,8.25,48.0,55.0,1,14
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,120.0,-82.0,7.25,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-82.0,7.25,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-82.0,7.5,24.0,28.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-83.0,7.5,24.0,27.0,1,7
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,120.0,-82.0,7.25,24.0,28.0,1,7
